(fort10_06b) UCI J-v8.4 (4/06) JPL026+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
           0.000E+00 0.000E+00 3.716E-20 2.608E-20 1.830E-20 1.290E-20
           4.893E-21 1.893E-21 9.190E-22 2.306E-22 0.000E+00 0.000E+00
HKET   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.716E-20 2.608E-20 1.830E-20 1.290E-20
           4.893E-21 1.893E-21 9.190E-22 2.306E-22 0.000E+00 0.000E+00
MACR   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 2.379E-23 7.713E-23 1.408E-22 2.128E-22
           3.154E-22 3.998E-22 4.714E-22 5.223E-22 1.103E-22 0.000E+00
MACR   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 2.379E-23 7.713E-23 1.408E-22 2.128E-22
           3.154E-22 3.998E-22 4.714E-22 5.223E-22 1.103E-22 0.000E+00
MVK    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 3.555E-22 4.913E-22 5.236E-22
           4.759E-22 4.099E-22 3.147E-22 1.538E-22 7.016E-24 0.000E+00
MVK    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 3.555E-22 4.913E-22 5.236E-22
           4.759E-22 4.099E-22 3.147E-22 1.538E-22 7.016E-24 0.000E+00
UALD   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 1.127E-22 3.388E-22 5.731E-22 8.195E-22
           1.170E-21 1.442E-21 1.668E-21 1.798E-21 3.573E-22 0.000E+00
UALD   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 1.127E-22 3.388E-22 5.731E-22 8.195E-22
           1.170E-21 1.442E-21 1.668E-21 1.798E-21 3.573E-22 0.000E+00
GLYHO2 296 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 5.545E-21 8.815E-21 1.127E-20 1.293E-20
           1.301E-20 1.269E-20 1.122E-20 6.125E-21 1.694E-21 4.741E-23
GLYHO2 296 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 5.545E-21 8.815E-21 1.127E-20 1.293E-20
           1.301E-20 1.269E-20 1.122E-20 6.125E-21 1.694E-21 4.741E-23
GLYH2  296 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 6.444E-21 7.430E-21 8.003E-21 7.855E-21
           6.162E-21 4.653E-21 3.212E-21 9.002E-22 1.266E-23 0.000E+00
GLYH2  296 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 6.444E-21 7.430E-21 8.003E-21 7.855E-21
           6.162E-21 4.653E-21 3.212E-21 9.002E-22 1.266E-23 0.000E+00
GLYHCHO 296 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 7.215E-21 1.188E-20 1.503E-20 1.696E-20
           1.621E-20 1.462E-20 1.167E-20 4.137E-21 2.615E-22 9.258E-25
GLYHCHO 296 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 7.215E-21 1.188E-20 1.503E-20 1.696E-20
           1.621E-20 1.462E-20 1.167E-20 4.137E-21 2.615E-22 9.258E-25
MGLY   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.463E-20 4.148E-20 4.342E-20 4.365E-20
           3.466E-20 2.424E-20 1.792E-20 6.219E-21 2.250E-20 1.074E-21
MGLY   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.463E-20 4.148E-20 4.342E-20 4.365E-20
           3.466E-20 2.424E-20 1.792E-20 6.219E-21 2.250E-20 1.074E-21
DCB1   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.463E-20 4.148E-20 4.342E-20 4.365E-20
           3.466E-20 2.424E-20 1.792E-20 6.219E-21 2.250E-20 1.074E-21
DCB1   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.463E-20 4.148E-20 4.342E-20 4.365E-20
           3.466E-20 2.424E-20 1.792E-20 6.219E-21 2.250E-20 1.074E-21
DCB2   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.463E-20 4.148E-20 4.342E-20 4.365E-20
           3.466E-20 2.424E-20 1.792E-20 6.219E-21 2.250E-20 1.074E-21
DCB2   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.463E-20 4.148E-20 4.342E-20 4.365E-20
           3.466E-20 2.424E-20 1.792E-20 6.219E-21 2.250E-20 1.074E-21
DCB3   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.463E-20 4.148E-20 4.342E-20 4.365E-20
           3.466E-20 2.424E-20 1.792E-20 6.219E-21 2.250E-20 1.074E-21
DCB3   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.463E-20 4.148E-20 4.342E-20 4.365E-20
           3.466E-20 2.424E-20 1.792E-20 6.219E-21 2.250E-20 1.074E-21
BALD   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 1.187E-19 1.173E-19 2.839E-20
           4.466E-21 4.249E-21 5.107E-21 5.518E-21 9.430E-22 0.000E+00
BALD   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 1.187E-19 1.173E-19 2.839E-20
           4.466E-21 4.249E-21 5.107E-21 5.518E-21 9.430E-22 0.000E+00
OP1    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.409E-19
           2.818E-19 2.214E-19 2.712E-20 2.620E-20 2.075E-20 5.491E-21
           3.520E-21 2.401E-21 1.699E-21 7.297E-22 4.563E-23 0.000E+00
OP1    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.409E-19
           2.818E-19 2.214E-19 2.712E-20 2.620E-20 2.075E-20 5.491E-21
           3.520E-21 2.401E-21 1.699E-21 7.297E-22 4.563E-23 0.000E+00
OP2    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.409E-19
           2.818E-19 2.214E-19 2.712E-20 2.620E-20 2.075E-20 5.491E-21
           3.520E-21 2.401E-21 1.699E-21 7.297E-22 4.563E-23 0.000E+00
OP2    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.409E-19
           2.818E-19 2.214E-19 2.712E-20 2.620E-20 2.075E-20 5.491E-21
           3.520E-21 2.401E-21 1.699E-21 7.297E-22 4.563E-23 0.000E+00
PAA    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.642E-22
           2.276E-19 2.872E-19 1.928E-20 2.189E-20 2.055E-20 1.920E-21
           1.008E-21 5.878E-22 3.674E-22 1.050E-22 4.474E-29 0.000E+00
PAA    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.642E-22
           2.276E-19 2.872E-19 1.928E-20 2.189E-20 2.055E-20 1.920E-21
           1.008E-21 5.878E-22 3.674E-22 1.050E-22 4.474E-29 0.000E+00
ONIT   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 5.044E-20 2.284E-20 1.664E-20 1.278E-20
           6.369E-21 3.144E-21 1.516E-21 2.232E-22 1.218E-24 0.000E+00
ONIT   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 5.044E-20 2.284E-20 1.664E-20 1.278E-20
           6.369E-21 3.144E-21 1.516E-21 2.232E-22 1.218E-24 0.000E+00
PANNO2 298 3.829E-19 9.683E-19 1.493E-18 2.611E-18 2.551E-18 1.782E-18
           1.417E-18 1.093E-18 5.543E-20 7.379E-20 6.889E-20 2.203E-21
           8.580E-22 4.018E-22 2.198E-22 5.689E-23 1.127E-24 0.000E+00
PANNO2 298 3.829E-19 9.683E-19 1.493E-18 2.611E-18 2.551E-18 1.782E-18
           1.417E-18 1.093E-18 5.543E-20 7.379E-20 6.889E-20 2.203E-21
           8.580E-22 4.018E-22 2.198E-22 5.689E-23 1.127E-24 0.000E+00
PANNO3 298 9.572E-20 2.421E-19 3.732E-19 6.527E-19 6.389E-19 4.683E-19
           3.908E-19 3.158E-19 2.464E-20 2.680E-20 2.220E-20 1.334E-21
           5.667E-22 2.679E-22 1.466E-22 3.793E-23 7.515E-25 0.000E+00
PANNO3 298 9.572E-20 2.421E-19 3.732E-19 6.527E-19 6.389E-19 4.683E-19
           3.908E-19 3.158E-19 2.464E-20 2.680E-20 2.220E-20 1.334E-21
           5.667E-22 2.679E-22 1.466E-22 3.793E-23 7.515E-25 0.000E+00
