#Name	Type	group ID	MW	Precursor	coll_fac	mole_diam	surf_tens	accomod	mass_dens	non-volatile	partitioning	smiles	psat_torr	dHvap	Henry	Tref	irr_name	 kirreversible
PC131NO3	4	2	271.31	C131NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.37E-07	1.05E+02	0.	0.	--	0.
PC131OH	4	2	226.31	C131OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.88E-07	1.05E+02	0.	0.	--	0.
PHCOOH	4	2	46.03	HCOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.23E+01	4.88E+01	0.	0.	--	0.
PC147OOH	4	2	286.32	C147OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	6.60E-13	1.48E+02	0.	0.	--	0.
PHCOCH2CO2H	4	2	88.06	HCOCH2CO2H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.38E-01	6.22E+01	0.	0.	--	0.
PC147CO	4	2	268.31	C147CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.76E-10	1.30E+02	0.	0.	--	0.
PC147OH	4	2	270.32	C147OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	8.28E-12	1.40E+02	0.	0.	--	0.
PCH3CO2H	4	2	60.05	CH3CO2H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	7.97E+00	5.09E+01	0.	0.	--	0.
PCH3CO3H	4	2	76.05	CH3CO3H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.86E+01	4.48E+01	0.	0.	--	0.
PPAN	4	2	121.05	PAN	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.37E+01	3.98E+01	0.	0.	--	0.
PC126CO2H	4	2	224.30	C126CO2H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	9.30E-07	1.03E+02	0.	0.	--	0.
PC126CO3H	4	2	240.30	C126CO3H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.14E-06	9.96E+01	0.	0.	--	0.
PC126PAN	4	2	285.29	C126PAN	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	6.15E-06	9.56E+01	0.	0.	--	0.
PC136CO2H	4	2	238.32	C136CO2H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.02E-07	1.08E+02	0.	0.	--	0.
PC136CO3H	4	2	254.32	C136CO3H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	6.83E-07	1.05E+02	0.	0.	--	0.
PC136PAN	4	2	299.32	C136PAN	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.36E-06	1.01E+02	0.	0.	--	0.
PC148OOH	4	2	286.32	C148OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.36E-10	1.29E+02	0.	0.	--	0.
PC148CO	4	2	268.31	C148CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.19E-07	1.09E+02	0.	0.	--	0.
PC148OH	4	2	270.32	C148OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.86E-09	1.21E+02	0.	0.	--	0.
PC1311OOH	4	2	242.31	C1311OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.75E-09	1.21E+02	0.	0.	--	0.
PC1311NO3	4	2	271.31	C1311NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.85E-08	1.14E+02	0.	0.	--	0.
PC1311OH	4	2	226.31	C1311OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.94E-08	1.13E+02	0.	0.	--	0.
PNC1313OOH	4	2	303.31	NC1313OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	9.66E-11	1.33E+02	0.	0.	--	0.
PNC1313OH	4	2	287.31	NC1313OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.13E-09	1.25E+02	0.	0.	--	0.
PC1313OOH	4	2	258.31	C1313OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.75E-10	1.31E+02	0.	0.	--	0.
PC1313NO3	4	2	287.31	C1313NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.13E-09	1.25E+02	0.	0.	--	0.
PC1313OH	4	2	242.31	C1313OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.99E-09	1.23E+02	0.	0.	--	0.
PC126OOH	4	2	212.29	C126OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	9.66E-06	9.59E+01	0.	0.	--	0.
PC126NO3	4	2	241.28	C126NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	7.15E-05	8.76E+01	0.	0.	--	0.
PC126CO	4	2	194.27	C126CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.41E-03	7.56E+01	0.	0.	--	0.
PC126OH	4	2	196.29	C126OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	8.32E-05	8.85E+01	0.	0.	--	0.
PC144OOH	4	2	272.34	C144OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.01E-11	1.37E+02	0.	0.	--	0.
PC142OOH	4	2	256.34	C142OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	8.52E-10	1.26E+02	0.	0.	--	0.
PC142NO3	4	2	285.34	C142NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.23E-09	1.19E+02	0.	0.	--	0.
PC142OH	4	2	240.34	C142OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	9.21E-09	1.18E+02	0.	0.	--	0.
PNBCKOOH	4	2	301.34	NBCKOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.95E-10	1.27E+02	0.	0.	--	0.
PBCKBNO3	4	2	285.34	BCKBNO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.76E-09	1.20E+02	0.	0.	--	0.
PBCKAOOH	4	2	256.34	BCKAOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.20E-10	1.26E+02	0.	0.	--	0.
PBCKANO3	4	2	285.34	BCKANO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.76E-09	1.20E+02	0.	0.	--	0.
PBCKAOH	4	2	240.34	BCKAOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.81E-09	1.19E+02	0.	0.	--	0.
PBCKBOOH	4	2	256.34	BCKBOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.20E-10	1.26E+02	0.	0.	--	0.
